Name,"3 potential customers in US ",Address,City,Cohort,Company Analysis,Company key,Country,Description,Duplicated,Elevator Pitch,Founder,Founding Year,Funding objective,Funding raised (euros),Industry,Last edited time,LinkedIn Profile,Linkedin Page,Logo,One Pager (pdf),P. IVA,Participants,Participants' City,Phase,Pitch Deck,Pitch Deck URL,Plan to raise capital in the US?,Program,Province,Region,"Relevant Info ",Rollup,Rollup 1,Team Size,Topic Group,Total Funding,Website,ZIP Code
Markeplay,,"VIA
  DOMENICO SCARLATTI 31",MILANO,C2 - Cybersecurity / Blockchain / IoT / Robotics,,markeplay,,"B2B SaaS platform to create enterprise B2B, B2C online stores and marketplaces: online in hours and without technical skills.",No,,"Marco Coralluzzo,Giuseppe Vegliante,Domenico Pastore",2022,<1M (undisclosed),,Other,"October 23, 2024 10:09 PM",,,,DB%20Companies/Markeplay_One_Pager.pdf,12630730963,"Marco Coralluzzo (https://www.notion.so/Marco-Coralluzzo-ed97a921704946d8aa3866c60f529b3e?pvs=21), Giuseppe Vegliante (https://www.notion.so/Giuseppe-Vegliante-749b2b174c244ded854f2421c33a1292?pvs=21), Domenico Pastore (https://www.notion.so/Domenico-Pastore-1a28abdfd02e45ccb14e5e312e0f9262?pvs=21)",Padula (SA),2-SF,,,,Startup Bootcamp,MI,Lombardy,,"Marco Coralluzzo,Giuseppe Vegliante,Domenico Pastore",,,,,https://www.markeplay.com/,20123
RecapGPT,,,,C2 - Cybersecurity / Blockchain / IoT / Robotics,,recapgpt,,AI Copilot for consultancy services,No,,Federico Remiti,2022,Between 0 and 500k,,AI,"October 22, 2024 8:03 PM",,,,DB%20Companies/RecapGPT_One_Pager.pdf,-,Federico Remiti (https://www.notion.so/Federico-Remiti-42340dbe82a2438396a9a674005cb79f?pvs=21),Biella,2-SF,,,,Startup Bootcamp,,Piedmont,,Federico Remiti,,,,,https://www.recapgpt.com/,
Coffeefrom,,GALLERIA DEL CORSO 1,MILANO,C2 - Cybersecurity / Blockchain / IoT / Robotics,,coffeefrom,,"In a circular economy approach, we transform the coffee grounds of the food industry collected into infinite expressive possibilities",No,,"Rita Bonucchi,Laura Gallo,Caterina Maria Ciambrone",2022,Between 0 and 500k,,CleanTech,"November 12, 2024 8:51 PM",,,,DB%20Companies/Coffeefrom_One_Pager.pdf,12516800963,"Rita Bonucchi (https://www.notion.so/Rita-Bonucchi-28afd5b66549408a8fdd8c527d984946?pvs=21), Laura Gallo (https://www.notion.so/Laura-Gallo-d814c94554f84096bf1217c1bccf3832?pvs=21), Caterina Maria Ciambrone (https://www.notion.so/Caterina-Maria-Ciambrone-2a0c94761780406192b454a1eb82d5ce?pvs=21)","Milano,Desenzano,Vignola,Singapore,Milano",2-SF,,,,Startup Bootcamp,MI,Lombardy,,"Rita Bonucchi,Laura Gallo,Caterina Maria Ciambrone",,5,,"€120,000.00",https://coffeefrom.it/en/home/,20122
Visual Note,,VIA IMBONATI CARLO 72,MILANO,C1 - AI / Metaverse / Culture & Creativity,,visualnote,,"It develops devices to facilitate the musical learning of the guitar thanks to the use of luminous LEDs.Products:- kit to apply on guitars;- bundle, Eko guitar with Visual Note already assembled (partnership with the Algam-Eko group).The management of the Visual Note kit functions takes place with a companion app (it can also be used in stand-alone mode).",No,,Vincenzo Maresca,2017,Between 0 and 500k,,Edutech,"February 14, 2025 12:22 PM",,,,DB%20Companies/Visual_Note_CompanySummary.pdf,14381661009,Vincenzo Maresca (https://www.notion.so/Vincenzo-Maresca-9ecf5d2b63784360b448a9c04bbfb870?pvs=21),Milano,2-SF,,,,Startup Bootcamp,MI,Lombardy,,Vincenzo Maresca,https://www.linkedin.com/in/vincenzo-maresca-81290465/,,,,www.visual-note.com,20159
Monokee,,VIA FORTUNATO ZENI 8,ROVERETO,C2 - Cybersecurity / Blockchain / IoT / Robotics,,monokee,,"Company that has developed and markets an IAM - Identity Access Manager and Visual Identity Orchestration Product.  Monokee is a cybersecurity, identity and access management company.",No,,"Simone Albamonte,Roberto Griggio",2017,<1M (undisclosed),,Cybersecurity,"October 23, 2024 10:16 PM",,,,DB%20Companies/Monokee_One_Pager.pdf,02480680228,"Simone Albamonte (https://www.notion.so/Simone-Albamonte-ed4ab6cd52164511885c5db1832f6e09?pvs=21), Roberto Griggio (https://www.notion.so/Roberto-Griggio-b3fe1b325dff49ab97d6366b0542baca?pvs=21)","Milano,Rovereto,Padova",2-SF,,,,SMEs Traction,TN,Trentino-South Tyrol,,"Simone Albamonte,Roberto Griggio",,,,,www.monokee.com,38068
BCC Studio,,VIA SANT ORSOLA 2,BERGAMO,C2 - Cybersecurity / Blockchain / IoT / Robotics,,bccstudio,,"BCC Studio is looking to accelerate the adoption of Blockchain solutions from companies, enabling Digital Transaction.",No,,"Valmir Hazeri,Marco Cipriani",2020,Between 0 and 500k,,Blockchain,"November 12, 2024 9:06 PM",,,,DB%20Companies/BCC_Studio_One_Pager.pdf,04457480160,"Valmir Hazeri (https://www.notion.so/Valmir-Hazeri-1d52d423d5344b75b7f7fbfd7e303781?pvs=21), Marco Cipriani (https://www.notion.so/Marco-Cipriani-01c0db3682a047639071c274be49e809?pvs=21)","L’Aquila, Bergamo, Rovigo, Napoli",2-SF,,,,Startup Bootcamp,BG,Lombardy,,"Valmir Hazeri,Marco Cipriani",,4,,"€40,000.00",https://www.bccstudio.biz/,24122
Oraigo,,"VIA
  TEMANZA 4/A",PADOVA,C1 - AI / Metaverse / Culture & Creativity,,oraigo,,"Oraigo plans to produce and commercialize an anti-sleepstroke headband. The device through EEG (electroencephalogram) analysis and by exploiting deep learning (artificial intelligence) techniques is able to detect sleep stroke by intervening by means of sound and vibration alerts that can immediately awaken the user. The target clientele the company refers to is related to the transportation sector, both nationally and internationally involving all those individuals who carry out their work activities driving a means of transportation and are subjected to high loads of stress and fatigue. ",No,,Michele Galetta,2019,Between 1M and 5M,,Medical Device,"October 23, 2024 10:20 PM",,,,DB%20Companies/Oraigo_Company_Summary.pdf,05190700285,Michele Galetta (https://www.notion.so/Michele-Galetta-46bce33969d44009a7f09ae482dfce61?pvs=21),Padova,2-SF,,,,Startup Acceleration,PD,Veneto,,Michele Galetta,,,,,oraigo.com,35134
Memento,,CORTE DEI MESAGNESI 30,LECCE,C1 - AI / Metaverse / Culture & Creativity,,memento,,"Memento is developing unique EdTech software (AI supported) to do just that: Imagine children playing in the real world with physical toys. They have fun, they move and, at the same time, they learn.Our system uses Artificial Intelligence to capture all playtime data to create a custom Edutainment program tailored for every child. And it’s thanks to the A.I. that we can extend our innovative, screen-free toys with a ton of educational content, covering many subjects, concepts and skills for children K through 8.It is also a Green solution because we are reducing the physical toys quantities (extending them with digital) and we are also moving to recyclable and recycled components.",No,,Anna Carparelli,2014,<1M (undisclosed),,Edutech,"October 23, 2024 10:09 PM",,,,DB%20Companies/Memento_CompanySummary_Call4Innovit.pdf,04652310758,Anna Carparelli (https://www.notion.so/Anna-Carparelli-d9dcd64a3a1f40a9b339907e6156bb64?pvs=21),,2-SF,,,,Startup Acceleration,LE,Apulia,,Anna Carparelli,,,,,www.mementotoys.com,73100
HuKnow,,VIALE MONTE NERO 82,MILANO,C1 - AI / Metaverse / Culture & Creativity,,huknow,,"On Huknow you can immediately meet any Expert in any topic.The internal TAG-based search engine can index any expertise; we are not a taxonomic platform, let alone a vertical one, but we can also make any verticality available.Timed, AES256-protected video calling allows for maximum confidentiality.Sharing Economy approach allows professionals and experts to monetize their knowledge on the web, without anticipating economies.The 15% success fee ensures simple and inexpensive delivery, leaving the startup with abundant room for growth, especially in terms of scalability.",No,,Lamberto Cesaroni,2017,Between 0 and 500k,,ICT,"October 23, 2024 10:00 PM",,,,DB%20Companies/HuKnow_Interweb_srl.pdf,10061280961,Lamberto Cesaroni (https://www.notion.so/Lamberto-Cesaroni-653717e0aee145aa9d5028028c397cfd?pvs=21),Milano,2-SF,,,,Startup Acceleration,MI,Lombardy,,Lamberto Cesaroni,,,,,www.huknow.com,20135
Fluentis,,VIA MEZZOMONTE 24,SACILE,C1 - AI / Metaverse / Culture & Creativity,,fluentis,,Supply of high-tech ERP solutions in SaaS mode via Cloud platform.,No,,"Laura Piai,Fabrizio Saro",2012,<1M (undisclosed),,ICT,"October 23, 2024 10:37 PM",,,,DB%20Companies/Fluentis_Company_Summary.pdf,01720550936,"Laura Piai (https://www.notion.so/Laura-Piai-7d45a50f5c28490495014af703b85ca1?pvs=21), Fabrizio Saro (https://www.notion.so/Fabrizio-Saro-4dfa901d19854dc49c5d4b6749e4d8b1?pvs=21)",Pordenone,2-SF,,,,SMEs Traction,PN,Friuli-Venezia Giulia,,"Laura Piai,Fabrizio Saro","https://www.linkedin.com/in/laurapiai/,https://www.linkedin.com/in/fabrizio-saro-3a359826/",,,,www.fluentis.com/en/,33077
