# Generato dal CSV: righe con colonna Logo vuota e Website presente
# Formato: Nome | URL
Markeplay | https://www.markeplay.com/
RecapGPT | https://www.recapgpt.com/
Coffeefrom | https://coffeefrom.it/en/home/
Visual Note | https://www.visual-note.com
Monokee | https://www.monokee.com
BCC Studio | https://www.bccstudio.biz/
Oraigo | https://oraigo.com
Memento | https://www.mementotoys.com
HuKnow | https://www.huknow.com
Fluentis | https://www.fluentis.com/en/
Cyberangels | https://Cyberangels.it
Sirio | https://sirio.chiron.ai/en/
TerraViva | https://www.terravivacompetitions.com
221E | https://www.221e.com
Eligo | https://www.eligo.style
Farzati | https://www.farzati.it
AR Market | https://armarket.it
Eudata | https://www.eudata.com
Blockchain Italia | https://www.blockchainitalia.io/
Builti | http://www.builti.it/
Wallfarm | https://wallfarm.bio/
Canova Tech | https://www.canovatech.com/
Futurenext | https://www.futurenext.it
Blue Innovation | https://www.blueinnovation.it
Nest.City | https://www.nest.city
Edge SDN | https://www.edge-sdn.com
GardenStuff | https://www.gardenstuff.it
Tutored - Joiners | https://www.tutored.me
Ada Travel | https://www.adatravel.it
Ernesto | http://www.ernesto.it/
Reasoned Art | https://www.reasonedart.com
Yookye | https://yookye.com/it
It’s Prodigy | https://www.dataprodigy.io
Notarify | https://notarify.io/
Nextome | http://www.nextome.com/
Scen | https://www.scen.it
Trainect | https://www.trainect.it
NIDO Unmanned Box System | https://www.nido-system.com/
Wearable Robotics | https://www.wearable-robotics.com
Pragma Etimos | https://pragmaetimos.com/
Sigma Ingegneria | https://www.sigmaingegneria.com
Social Thingum | https://www.socialthingum.it/en
Huna | https://huna.io/
Robosan | https://www.robosan.it
Ticketoo | https://ticketoo.it/
Kulto | https://www.kultolab.com
Hercle | https://hercle.financial/
ABzero | https://www.abzero.it/
Astrakode | https://astrakode.tech/
Digital Forest | https://www.digitalforest.it/
Tiwi | https://www.tiwi.it
Must Had | https://musthad.com/
SaferPlaces | http://www.saferplaces.co/
SLY | http://www.sly.eco/
j4energy | https://www.j4company.com/
Pinpoint | https://www.pinpointweb.it/
Go Additive | https://goadditive.com/
Pradella Sistemi | https://www.pradellasistemi.com/
Arxax | https://www.arxax.com/
Babylon Cloud | http://www.babyloncloud.com/
ecosostenibile.eu | https://www.e-co2.website/
Green Future Project | https://greenfutureproject.com/
Zerow | http://www.zerow.it/
Blue Gold | https://www.blue-gold.it/en
EZ LAB | http://www.ezlab.it/
Iride Acque | http://www.irideacque.com/
Is CLEAN AIR | http://www.iscleanair.com/
Nextsense | http://www.biovitae.it/
Osense | http://www.osense.ai/
